piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A02;LAPINLAHDEN SILTA;25494579;6672693;1;745;2011;834;42;6;6;30;14;0;918
A02;LAPINLAHDEN SILTA;25494579;6672693;1;800;2011;901;24;5;4;26;10;0;960
A02;LAPINLAHDEN SILTA;25494579;6672693;1;815;2011;852;39;8;1;35;3;0;935
A02;LAPINLAHDEN SILTA;25494579;6672693;1;830;2011;830;30;8;3;33;9;0;904
A02;LAPINLAHDEN SILTA;25494579;6672693;1;845;2011;711;35;3;4;34;7;0;787
A02;LAPINLAHDEN SILTA;25494579;6672693;1;900;2011;1928;168;37;8;97;22;0;2238
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1000;2011;1091;178;30;6;63;22;0;1368
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1100;2011;1147;149;35;14;54;9;0;1399
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1200;2011;1209;121;42;24;70;9;0;1466
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1300;2011;1074;106;41;25;65;15;0;1311
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1400;2011;1055;129;45;22;84;15;0;1335
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1500;2011;308;35;10;8;25;7;0;386
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1515;2011;310;22;4;11;23;6;0;370
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1530;2011;374;31;5;8;32;2;0;450
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1545;2011;331;28;11;4;25;2;0;399
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1600;2011;408;24;8;5;32;3;0;477
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1615;2011;460;19;5;8;28;6;0;520
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1630;2011;432;23;7;9;32;7;0;503
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1645;2011;400;19;4;6;27;9;0;456
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1700;2011;383;18;4;10;31;7;0;446
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1715;2011;404;18;0;9;23;5;0;454
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1730;2011;394;10;7;10;25;4;0;446
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1745;2011;384;20;4;9;27;8;0;444
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1800;2011;1223;62;17;17;93;44;0;1412
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1900;2011;1061;58;5;28;32;8;0;1184
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2000;2011;899;42;9;15;48;8;0;1013
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2100;2011;541;25;5;9;29;2;0;609
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2200;2011;321;16;3;6;18;1;0;364
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2300;2011;233;11;3;4;13;1;0;264
A02;LAPINLAHDEN SILTA;25494579;6672693;2;0;2011;158;8;2;3;8;0;0;179
A02;LAPINLAHDEN SILTA;25494579;6672693;2;100;2011;100;5;1;2;6;0;0;114
A02;LAPINLAHDEN SILTA;25494579;6672693;2;200;2011;54;3;1;1;3;0;0;62
A02;LAPINLAHDEN SILTA;25494579;6672693;2;300;2011;47;2;1;1;2;0;0;53
A02;LAPINLAHDEN SILTA;25494579;6672693;2;400;2011;37;2;0;1;2;0;0;42
A02;LAPINLAHDEN SILTA;25494579;6672693;2;500;2011;83;4;1;1;5;0;0;94
A02;LAPINLAHDEN SILTA;25494579;6672693;2;600;2011;40;3;3;1;1;0;0;48
A02;LAPINLAHDEN SILTA;25494579;6672693;2;615;2011;85;6;2;3;8;0;0;104
A02;LAPINLAHDEN SILTA;25494579;6672693;2;630;2011;109;17;2;2;7;1;0;137
A02;LAPINLAHDEN SILTA;25494579;6672693;2;645;2011;147;22;7;4;10;1;0;190
A02;LAPINLAHDEN SILTA;25494579;6672693;2;700;2011;171;16;1;15;13;2;0;216
A02;LAPINLAHDEN SILTA;25494579;6672693;2;715;2011;199;25;4;10;26;2;0;264
A02;LAPINLAHDEN SILTA;25494579;6672693;2;730;2011;299;26;6;13;34;5;0;378
A02;LAPINLAHDEN SILTA;25494579;6672693;2;745;2011;326;30;13;7;34;3;0;410
A02;LAPINLAHDEN SILTA;25494579;6672693;2;800;2011;362;21;16;9;29;5;0;437
A02;LAPINLAHDEN SILTA;25494579;6672693;2;815;2011;358;21;7;3;33;1;0;422
A02;LAPINLAHDEN SILTA;25494579;6672693;2;830;2011;430;24;10;4;30;2;0;498
A02;LAPINLAHDEN SILTA;25494579;6672693;2;845;2011;397;43;15;7;34;5;0;496
A02;LAPINLAHDEN SILTA;25494579;6672693;2;900;2011;1132;124;41;19;106;17;0;1422
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1000;2011;953;178;37;23;73;9;0;1264
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1100;2011;1149;182;54;6;60;8;0;1451
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1200;2011;1187;162;41;12;53;8;0;1455
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1300;2011;1274;175;53;51;61;11;0;1614
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1400;2011;1519;202;54;10;75;15;0;1860
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1500;2011;497;42;14;1;20;9;0;574
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1515;2011;589;73;14;4;21;9;0;701
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1530;2011;660;54;9;3;33;9;0;759
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1545;2011;684;41;1;2;31;6;0;759
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1600;2011;704;43;1;2;32;6;0;782
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1615;2011;761;28;12;11;44;7;0;856
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1630;2011;742;36;9;8;32;11;0;827
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1645;2011;661;27;6;5;34;9;0;733
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1700;2011;686;24;6;6;29;11;0;751
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1715;2011;654;20;4;1;23;7;0;702
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1730;2011;616;16;3;2;20;12;0;657
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1745;2011;543;12;8;2;25;14;0;590
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1800;2011;1824;62;16;3;84;28;0;1989
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1900;2011;1374;68;5;37;36;0;0;1520
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2000;2011;1307;60;11;23;67;0;0;1468
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2100;2011;1041;47;9;18;54;0;0;1169
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2200;2011;615;28;5;11;31;0;0;690
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2300;2011;451;21;4;9;24;0;0;509
A03;MERIKANNONTIE;25495193;6673910;1;0;2011;8;0;0;0;0;0;0;8
A03;MERIKANNONTIE;25495193;6673910;1;100;2011;4;0;0;0;0;0;0;4
A03;MERIKANNONTIE;25495193;6673910;1;200;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;1;300;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;1;400;2011;3;0;0;0;0;0;0;3
A03;MERIKANNONTIE;25495193;6673910;1;500;2011;8;0;0;0;0;0;0;8
A03;MERIKANNONTIE;25495193;6673910;1;600;2011;4;0;0;0;0;0;0;4
A03;MERIKANNONTIE;25495193;6673910;1;615;2011;11;1;0;0;0;0;0;12
A03;MERIKANNONTIE;25495193;6673910;1;630;2011;34;0;0;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;645;2011;26;4;0;0;0;1;0;30
A03;MERIKANNONTIE;25495193;6673910;1;700;2011;21;1;0;0;0;0;0;22
A03;MERIKANNONTIE;25495193;6673910;1;715;2011;26;2;1;0;0;0;0;29
A03;MERIKANNONTIE;25495193;6673910;1;730;2011;35;3;0;0;1;0;0;39
A03;MERIKANNONTIE;25495193;6673910;1;745;2011;67;6;0;0;0;0;0;73
A03;MERIKANNONTIE;25495193;6673910;1;800;2011;78;2;1;0;0;0;0;81
A03;MERIKANNONTIE;25495193;6673910;1;815;2011;81;2;0;0;0;0;0;83
A03;MERIKANNONTIE;25495193;6673910;1;830;2011;83;7;0;0;1;1;0;91
A03;MERIKANNONTIE;25495193;6673910;1;845;2011;91;2;0;0;0;0;0;93
A03;MERIKANNONTIE;25495193;6673910;1;900;2011;169;16;2;0;0;0;0;187
A03;MERIKANNONTIE;25495193;6673910;1;1000;2011;97;11;5;0;0;1;0;113
A03;MERIKANNONTIE;25495193;6673910;1;1100;2011;107;15;2;0;0;0;0;124
A03;MERIKANNONTIE;25495193;6673910;1;1200;2011;100;12;1;0;1;0;0;114
A03;MERIKANNONTIE;25495193;6673910;1;1300;2011;117;10;3;0;1;5;0;131
A03;MERIKANNONTIE;25495193;6673910;1;1400;2011;105;16;3;0;0;0;0;124
A03;MERIKANNONTIE;25495193;6673910;1;1500;2011;23;2;1;0;0;0;0;26
A03;MERIKANNONTIE;25495193;6673910;1;1515;2011;31;3;0;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;1530;2011;37;5;1;0;0;0;0;43
A03;MERIKANNONTIE;25495193;6673910;1;1545;2011;52;3;0;0;0;0;0;55
A03;MERIKANNONTIE;25495193;6673910;1;1600;2011;60;1;0;0;0;0;0;61
A03;MERIKANNONTIE;25495193;6673910;1;1615;2011;46;2;0;0;0;0;0;48
A03;MERIKANNONTIE;25495193;6673910;1;1630;2011;32;3;0;0;0;0;0;35
A03;MERIKANNONTIE;25495193;6673910;1;1645;2011;31;2;1;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;1700;2011;41;1;1;0;0;0;0;43
A03;MERIKANNONTIE;25495193;6673910;1;1715;2011;44;1;0;0;0;0;0;45
A03;MERIKANNONTIE;25495193;6673910;1;1730;2011;41;3;0;0;0;0;0;44
A03;MERIKANNONTIE;25495193;6673910;1;1745;2011;32;1;1;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;1800;2011;125;3;0;0;0;0;0;128
A03;MERIKANNONTIE;25495193;6673910;1;1900;2011;87;4;1;0;0;1;0;92
A03;MERIKANNONTIE;25495193;6673910;1;2000;2011;77;3;1;0;0;0;0;81
A03;MERIKANNONTIE;25495193;6673910;1;2100;2011;28;1;0;0;0;0;0;29
A03;MERIKANNONTIE;25495193;6673910;1;2200;2011;19;1;0;0;0;0;0;20
A03;MERIKANNONTIE;25495193;6673910;1;2300;2011;6;0;0;0;0;0;0;6
A03;MERIKANNONTIE;25495193;6673910;2;0;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;100;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;200;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;300;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;400;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;500;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;600;2011;1;1;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;615;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;630;2011;5;0;0;0;0;0;0;5
A03;MERIKANNONTIE;25495193;6673910;2;645;2011;4;0;0;0;0;0;0;4
A03;MERIKANNONTIE;25495193;6673910;2;700;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;715;2011;6;1;1;0;0;0;0;8
A03;MERIKANNONTIE;25495193;6673910;2;730;2011;22;2;0;0;0;0;0;24
A03;MERIKANNONTIE;25495193;6673910;2;745;2011;22;5;0;0;1;0;0;28
A03;MERIKANNONTIE;25495193;6673910;2;800;2011;30;0;0;0;0;0;0;30
A03;MERIKANNONTIE;25495193;6673910;2;815;2011;18;3;0;0;0;0;0;21
A03;MERIKANNONTIE;25495193;6673910;2;830;2011;21;0;2;0;0;1;0;23
A03;MERIKANNONTIE;25495193;6673910;2;845;2011;17;3;0;0;0;0;0;20
A03;MERIKANNONTIE;25495193;6673910;2;900;2011;50;8;2;0;0;0;0;60
A03;MERIKANNONTIE;25495193;6673910;2;1000;2011;49;7;1;0;0;0;0;57
A03;MERIKANNONTIE;25495193;6673910;2;1100;2011;59;13;3;0;1;0;0;76
A03;MERIKANNONTIE;25495193;6673910;2;1200;2011;79;20;4;0;0;0;0;103
A03;MERIKANNONTIE;25495193;6673910;2;1300;2011;69;16;0;0;0;0;0;85
A03;MERIKANNONTIE;25495193;6673910;2;1400;2011;98;8;1;0;0;1;0;107
A03;MERIKANNONTIE;25495193;6673910;2;1500;2011;27;1;0;0;0;0;0;28
A03;MERIKANNONTIE;25495193;6673910;2;1515;2011;23;1;0;0;1;0;0;25
A03;MERIKANNONTIE;25495193;6673910;2;1530;2011;33;3;0;0;0;1;0;36
A03;MERIKANNONTIE;25495193;6673910;2;1545;2011;37;2;2;0;0;0;0;41
